AGE,COUNT,EVENT_TYPE,POPULATION,RACE,Non-Hispanic Race,RATE,SEX,SITE,YEAR
5-9,~,Mortality,9886447,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
50-54,153,Mortality,10387588,All Other Races,All Races,1.5,Female,Oral Cavity and Pharynx,2019
55-59,277,Mortality,11232044,All Other Races,All Races,2.5,Female,Oral Cavity and Pharynx,2019
60-64,353,Mortality,10708826,All Other Races,All Races,3.3,Female,Oral Cavity and Pharynx,2019
65-69,370,Mortality,9252566,All Other Races,All Races,4,Female,Oral Cavity and Pharynx,2019
70-74,413,Mortality,7527818,All Other Races,All Races,5.5,Female,Oral Cavity and Pharynx,2019
75-79,393,Mortality,5333117,All Other Races,All Races,7.4,Female,Oral Cavity and Pharynx,2019
80-84,356,Mortality,3636357,All Other Races,All Races,9.8,Female,Oral Cavity and Pharynx,2019
85+,656,Mortality,4225260,All Other Races,All Races,15.5,Female,Oral Cavity and Pharynx,2019
<1,~,Mortality,1841226,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
1-4,~,Mortality,7613266,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
10-14,~,Mortality,10159455,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
15-19,~,Mortality,10266332,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
20-24,~,Mortality,10561909,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
25-29,~,Mortality,11356117,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
30-34,~,Mortality,11269150,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
35-39,26,Mortality,10890716,All Other Races,All Races,0.2,Female,Oral Cavity and Pharynx,2020
40-44,48,Mortality,10199608,All Other Races,All Races,0.5,Female,Oral Cavity and Pharynx,2020
45-49,68,Mortality,10097702,All Other Races,All Races,0.7,Female,Oral Cavity and Pharynx,2020
5-9,~,Mortality,9890958,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
50-54,158,Mortality,10343739,All Other Races,All Races,1.5,Female,Oral Cavity and Pharynx,2020
55-59,306,Mortality,11091171,All Other Races,All Races,2.8,Female,Oral Cavity and Pharynx,2020
60-64,418,Mortality,10823072,All Other Races,All Races,3.9,Female,Oral Cavity and Pharynx,2020
65-69,409,Mortality,9483316,All Other Races,All Races,4.3,Female,Oral Cavity and Pharynx,2020
70-74,411,Mortality,7882542,All Other Races,All Races,5.2,Female,Oral Cavity and Pharynx,2020
75-79,381,Mortality,5513149,All Other Races,All Races,6.9,Female,Oral Cavity and Pharynx,2020
80-84,364,Mortality,3715123,All Other Races,All Races,9.8,Female,Oral Cavity and Pharynx,2020
85+,616,Mortality,4243727,All Other Races,All Races,14.5,Female,Oral Cavity and Pharynx,2020
<1,~,Mortality,1826869,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
1-4,~,Mortality,1990741,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
10-14,~,Mortality,2535028,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
15-19,~,Mortality,2391981,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
20-24,~,Mortality,2326538,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
25-29,~,Mortality,2274335,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
30-34,~,Mortality,2136930,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
35-39,~,Mortality,2113552,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
40-44,~,Mortality,1972814,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
45-49,~,Mortality,1802854,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
5-9,~,Mortality,2563142,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
50-54,~,Mortality,1573513,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
55-59,~,Mortality,1329063,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
60-64,24,Mortality,1057895,Hispanic of any race,Hispanic of any race,2.3,Female,Oral Cavity and Pharynx,2017
65-69,21,Mortality,794747,Hispanic of any race,Hispanic of any race,2.6,Female,Oral Cavity and Pharynx,2017
70-74,17,Mortality,575731,Hispanic of any race,Hispanic of any race,3,Female,Oral Cavity and Pharynx,2017
75-79,22,Mortality,403098,Hispanic of any race,Hispanic of any race,5.5,Female,Oral Cavity and Pharynx,2017
80-84,24,Mortality,284082,Hispanic of any race,Hispanic of any race,8.4,Female,Oral Cavity and Pharynx,2017
85+,26,Mortality,291207,Hispanic of any race,Hispanic of any race,8.9,Female,Oral Cavity and Pharynx,2017
<1,~,Mortality,489086,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
1-4,~,Mortality,1997141,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
10-14,~,Mortality,2588553,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
15-19,~,Mortality,2434531,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
20-24,~,Mortality,2343702,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
25-29,~,Mortality,2332407,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
30-34,~,Mortality,2151783,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
35-39,~,Mortality,2147683,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
40-44,~,Mortality,2000857,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
45-49,~,Mortality,1849097,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
5-9,~,Mortality,2547676,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
50-54,~,Mortality,1608140,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
55-59,~,Mortality,1382764,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
60-64,~,Mortality,1106750,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
65-69,~,Mortality,832250,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
70-74,19,Mortality,611382,Hispanic of any race,Hispanic of any race,3.1,Female,Oral Cavity and Pharynx,2018
75-79,~,Mortality,425295,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
80-84,~,Mortality,298110,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
85+,40,Mortality,306810,Hispanic of any race,Hispanic of any race,13,Female,Oral Cavity and Pharynx,2018
<1,~,Mortality,484090,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2018
1-4,~,Mortality,1993777,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
10-14,~,Mortality,2612962,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
15-19,~,Mortality,2472739,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
20-24,~,Mortality,2361982,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
25-29,~,Mortality,2379753,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
30-34,~,Mortality,2175440,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
35-39,~,Mortality,2166411,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
40-44,~,Mortality,2022577,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
45-49,~,Mortality,1887584,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
5-9,~,Mortality,2542449,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
50-54,~,Mortality,1636111,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
55-59,20,Mortality,1435837,Hispanic of any race,Hispanic of any race,1.4,Female,Oral Cavity and Pharynx,2019
60-64,18,Mortality,1152821,Hispanic of any race,Hispanic of any race,1.6,Female,Oral Cavity and Pharynx,2019
65-69,23,Mortality,875289,Hispanic of any race,Hispanic of any race,2.6,Female,Oral Cavity and Pharynx,2019
70-74,19,Mortality,647589,Hispanic of any race,Hispanic of any race,2.9,Female,Oral Cavity and Pharynx,2019
75-79,23,Mortality,446776,Hispanic of any race,Hispanic of any race,5.1,Female,Oral Cavity and Pharynx,2019
80-84,24,Mortality,311945,Hispanic of any race,Hispanic of any race,7.7,Female,Oral Cavity and Pharynx,2019
85+,36,Mortality,322355,Hispanic of any race,Hispanic of any race,11.2,Female,Oral Cavity and Pharynx,2019
<1,~,Mortality,481965,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2019
1-4,~,Mortality,1977835,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
10-14,~,Mortality,2631706,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
15-19,~,Mortality,2503322,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
20-24,~,Mortality,2394439,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
25-29,~,Mortality,2397545,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
30-34,~,Mortality,2215919,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
35-39,~,Mortality,2166903,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
40-44,~,Mortality,2060422,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
45-49,~,Mortality,1917592,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
5-9,~,Mortality,2538280,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
50-54,~,Mortality,1679813,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
55-59,~,Mortality,1477699,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
60-64,16,Mortality,1204714,Hispanic of any race,Hispanic of any race,1.3,Female,Oral Cavity and Pharynx,2020
65-69,17,Mortality,922250,Hispanic of any race,Hispanic of any race,1.8,Female,Oral Cavity and Pharynx,2020
70-74,16,Mortality,688499,Hispanic of any race,Hispanic of any race,2.3,Female,Oral Cavity and Pharynx,2020
75-79,22,Mortality,469923,Hispanic of any race,Hispanic of any race,4.7,Female,Oral Cavity and Pharynx,2020
80-84,23,Mortality,324758,Hispanic of any race,Hispanic of any race,7.1,Female,Oral Cavity and Pharynx,2020
85+,34,Mortality,339985,Hispanic of any race,Hispanic of any race,10,Female,Oral Cavity and Pharynx,2020
<1,~,Mortality,475556,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2020
1-4,~,Mortality,76834,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
10-14,~,Mortality,101725,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
15-19,~,Mortality,103142,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
20-24,~,Mortality,106817,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
25-29,~,Mortality,109640,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
30-34,~,Mortality,94840,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
35-39,~,Mortality,87464,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
40-44,~,Mortality,80002,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
45-49,~,Mortality,83241,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
5-9,~,Mortality,100349,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
50-54,~,Mortality,88613,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
55-59,~,Mortality,91893,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
60-64,~,Mortality,79471,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
65-69,~,Mortality,61183,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
70-74,~,Mortality,42388,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
75-79,~,Mortality,27549,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
80-84,~,Mortality,17411,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
85+,~,Mortality,17031,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
<1,~,Mortality,18209,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2017
1-4,~,Mortality,75476,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
10-14,~,Mortality,102459,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
15-19,~,Mortality,101796,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
20-24,~,Mortality,105079,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
25-29,~,Mortality,111973,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
30-34,~,Mortality,95961,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
35-39,~,Mortality,89364,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
40-44,~,Mortality,80338,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
45-49,~,Mortality,82664,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
5-9,~,Mortality,99119,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
50-54,~,Mortality,85967,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
55-59,~,Mortality,91896,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
60-64,~,Mortality,82116,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
65-69,~,Mortality,63529,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
70-74,~,Mortality,45308,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
75-79,~,Mortality,29260,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
80-84,~,Mortality,18445,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
85+,~,Mortality,18104,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
<1,~,Mortality,17189,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2018
1-4,~,Mortality,73149,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
10-14,~,Mortality,102050,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
15-19,~,Mortality,101084,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
20-24,~,Mortality,103748,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
25-29,~,Mortality,112720,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
30-34,~,Mortality,98323,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
35-39,~,Mortality,90963,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
40-44,~,Mortality,81082,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
45-49,~,Mortality,81658,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
5-9,~,Mortality,98336,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
50-54,~,Mortality,83510,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
55-59,~,Mortality,91679,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
60-64,~,Mortality,84081,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
65-69,~,Mortality,66266,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
70-74,~,Mortality,48430,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
75-79,~,Mortality,31029,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
80-84,~,Mortality,19589,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
85+,~,Mortality,19149,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
<1,~,Mortality,17190,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2019
1-4,~,Mortality,71296,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
10-14,~,Mortality,101719,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
15-19,~,Mortality,100402,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
20-24,~,Mortality,103525,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
25-29,~,Mortality,111201,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
30-34,~,Mortality,101478,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
35-39,~,Mortality,91599,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
40-44,~,Mortality,82959,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
45-49,~,Mortality,80171,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2020
